Vides,Car,Truck,Conf_thres,frames,totaltime,modelLoadTime
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200509_161540.mp4,317,70,0.75,17999,1460.376593,2.378999949
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200512_161525.mp4,278,98,0.75,17999,1565.8131,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200515_161547.mp4,329,38,0.75,17999,1448.03479,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200518_161529.mp4,349,95,0.75,17999,1498.094073,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200521_161542.mp4,443,111,0.75,17999,1674.857304,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200530_161507.mp4,492,115,0.75,17999,1515.990123,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200602_161933.mp4,539,126,0.75,17999,1644.315581,5.002000809
D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200605_161506.mp4,502,157,0.75,17999,1500.432999,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200608_161513.mp4,638,163,0.75,17999,1634.768986,5.002000809
D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200611_161534.mp4,699,135,0.75,17999,1666.516081,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200614_161517.mp4,505,87,0.75,17999,1556.178675,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200617_161508.mp4,848,442,0.75,17999,1809.703871,5.002000809
D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200620_161507.mp4,647,167,0.75,17999,1568.764976,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200705_161518.mp4,636,116,0.75,17999,1732.885092,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200708_161553.mp4,750,119,0.75,17999,1580.41071,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200711_161516.mp4,606,99,0.75,17999,1555.151928,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200714_161511.mp4,530,166,0.75,17999,1491.060757,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200717_161614.mp4,479,188,0.75,17999,1509.403581,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200720_161556.mp4,587,133,0.75,17999,1555.0276,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200723_161518.mp4,597,167,0.75,17999,1618.342185,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200726_161509.mp4,593,79,0.75,17999,1559.184147,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200729_161519.mp4,584,153,0.75,17999,1550.418659,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200801_161505.mp4,622,89,0.75,17999,1520.06252,5.002000809
D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200602_161933.mp4,539,126,0.75,17999,1652.455393,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200804_161505.mp4,493,140,0.75,17999,1522.381394,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200807_161502.mp4,621,67,0.75,17999,1493.50907,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200810_161501.mp4,509,154,0.75,17999,1528.820649,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200813_161504.mp4,501,105,0.75,17999,1579.524993,5.002000809
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200816_161502.mp4,354,64,0.75,17999,1499.600655,5.002000809
