Videos,ActualCars,ModelCountCars,conf_thres
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200509_161540.mp4,427,413,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200512_161525.mp4,413,404,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200515_161547.mp4,486,371,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200518_161529.mp4,497,496,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200521_161542.mp4,572,522,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200530_161507.mp4,596,595,0.85
D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200602_161933.mp4,696,682,0.85
D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200605_161506.mp4,776,767,0.85
D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200611_161534.mp4,908,899,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200614_161517.mp4,695,659,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200617_161508.mp4,815,886,0.85
D:/Ivan/Test_data/Katipunan/15fps_test/VID_20200620_161507.mp4,901,874,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200705_161518.mp4,773,750,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200708_161553.mp4,791,758,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200714_161511.mp4,782,762,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200717_161614.mp4,889,844,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200720_161556.mp4,774,751,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200723_161518.mp4,771,771,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200726_161509.mp4,710,712,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200729_161519.mp4,779,777,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200801_161505.mp4,738,740,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200804_161505.mp4,657,639,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200810_161501.mp4,687,704,0.85
D:\Ivan\Test_data\Katipunan\15fps_test/VID_20200816_161502.mp4,512,511,0.85
